Date,Society 1,Society 2,Area,Zone,Week Number,Standard
03-08-2022,Sky lounge ,Raheja woods,kalyaninagar,east,2,"('Medium', 'Medium')"
03-09-2022,Green County,Majestic aqua,phursungi,east,2,"('Medium', 'Medium')"
03-10-2022,Sancheti Belcastle,PGD Pinnacle,mundhwa,east,2,"('Medium', 'Worst')"
03-11-2022,Dreams estate,Sicilia,hadapsar,east,2,"('Worst', 'Medium')"
03-12-2022,Amanora,,hadapsar,east,2,"('Angel', None)"
03-13-2022,Yellow blossoms ,Kumar Kruti,ghorpadi,east,2,"('Medium', 'Medium')"
04-12-2022,Konark Krish,Vihana,keshavnagar,east,7,"('Medium', 'Medium')"
04-13-2022,Godrej Infinity,,keshavnagar,east,7,"('Angel', None)"
04-14-2022,Landmark Greens,ARV Royale,kalyaninagar,east,7,"('Medium', 'Medium')"
04-15-2022,Landmark Gardens,Yellow Blosson,kalyaninagar,east,7,"('Medium', 'Worst')"
04-16-2022,Chaurang Terrace,,phursungi,east,7,"('Worst', None)"
04-17-2022,Amanora,,hadapsar,east,7,"('Angel', None)"
05-17-2022,Aditya Comfort Zon,Supreme palms,baner,west,12,"('Medium', 'Medium')"
05-18-2022,Iris,Mont vert biaritz phase 1,baner,west,12,"('Medium', 'Medium')"
05-19-2022,Palash Housing Society,Florencia,wakad,west,12,"('Medium', 'Medium')"
05-20-2022,Mont Vert Seville,Vardhaman Residency,wakad,west,12,"('Medium', 'Medium')"
05-21-2022,Elementa,,wakad,west,12,"('Angel', None)"
05-22-2022,Blue Ridge,Life Republic 7,hinjewadi,west,12,"('Angel', 'Angel')"
03-01-2022,Rohan Leher 2,"Rohan leher 1,2, alacrity",baner,west,1,"('Medium', 'Medium')"
03-02-2022,Mont Vert,Kumar Picadilly,wakad,west,1,"('Medium', 'Medium')"
03-03-2022,Uday HillTop,Hallmark Soc,ravet,west,1,"('Medium', 'Medium')"
03-04-2022,The Cliff Garden,The Crown Greens,hinjewadi,west,1,"('Medium', 'Medium')"
03-05-2022,Blue Ridge,Life Republic 7,hinjewadi,west,1,"('Angel', 'Angel')"
03-06-2022,Megapolis-Sunway,Megapolis-Sparklet,hinjewadi,west,1,"('Angel', 'Angel')"
04-05-2022,Western Avenue,Life Republic 3,hinjewadi,west,6,"('Medium', 'Medium')"
04-06-2022,Blue Ridge,Life Republic 7,hinjewadi,west,6,"('Angel', 'Angel')"
04-07-2022,Forest trails,,bhugaon,west,6,"('Medium', None)"
04-08-2022,Goodwill Soc,,ravet,west,6,"('Medium', None)"
04-09-2022,Life Montage,Windows,sus,west,6,"('Medium', 'Medium')"
04-10-2022,Elementa,,wakad,west,6,"('Angel', None)"
05-10-2022,NEA,,sus,west,11,"('Medium', None)"
05-11-2022,Yogiraj Foundation,,talegao,west,11,"('Medium', None)"
05-12-2022,Millenium Acropolis,Park Ivory,wakad,west,11,"('Medium', 'Medium')"
