Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
2,Shriram Soc,200.0,West,Warje,August,Q1,2-Aug-20,excited,WEEKEND,Self,repeat,0.0,9000.0
5,Aditya Garden City,1014.0,West,Warje,August,Q1,23-Aug-20,excited,WEEKEND,Self,repeat,1000.0,100.0
9,Shriram Soc,200.0,West,Warje,September,Q1,6-Sep-20,excited,WEEKEND,Self,repeat,0.0,3994.8
15,Aditya Garden City,1014.0,West,Warje,September,Q1,27-Sep-20,excited,WEEKEND,Self,repeat,2000.0,28800.0
17,9 green park,120.0,Central,Sahakarnagar,October,Q2,2-Oct-20,excited,WEEKEND,Self,repeat,0.0,9000.0
24,Aditya Garden City,1014.0,West,Warje,October,Q2,31-Oct-20,excited,WEEKEND,Self,repeat,2000.0,21600.0
26,Puraniks Abitante,450.0,West,Bavdhan,November,Q2,7-Nov-20,excited,WEEKEND,Self,repeat,1000.0,14547.6
36,Westend village ,200.0,Central,Bhusari colony,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,0.0,12600.0
37,Sun Universe ,750.0,Central,Sinhagad road,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,500.0,24600.0
35,Ishan srushti,150.0,West,Warje,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,0.0,18000.0
38,Tinseltown ,150.0,West,Bavdhan,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,0.0,12000.0
39,Valle vista,120.0,West,Bavdhan,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,0.0,10605.6
40,Sudatta sankul,180.0,Central,Sinhagad road,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,500.0,6600.0
41,Suvarna Park,150.0,West,Bavdhan,December,Q2,5-Dec-20,excited,WEEKEND,Self,repeat,0.0,12000.0
42,Vaidehi Enclave,70.0,West,Bavdhan,December,Q2,5-Dec-20,excited,WEEKEND,Self,repeat,0.0,7800.0
47,ADitya garden city,1012.0,West,Warje,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,2000.0,21886.2
48,Rahul Nisarg,350.0,West,Warje,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,500.0,8400.0
50,Kasturkunj,250.0,Central,Bhosalenagar,December,Q2,20-Dec-20,excited,WEEKEND,Self,repeat,0.0,9519.0
54,DSK Raanwara,500.0,West,Bavdhan,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,1000.0,4200.0
55,Puraniks Abitante,500.0,West,Bavdhan,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,1500.0,6000.0
59,9 Green Park,120.0,Central,Sahakarnagar,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,0.0,2745.6
65,Aditya Comfort Zon,550.0,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,0.0,18283.8
66,Supreme palms,250.0,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000.0,11716.2
67,Iris,200.0,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000.0,7920.0
71,Kumar Primrose,200.0,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000.0,3000.0
74,Pinnac Anand ,150.0,West,Karvenagar,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0.0,8565.0
75,Antelia ,150.0,West,Bavdhan,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,0.0,6057.6
79,Vallonia,200.0,West,Bavdhan,January,Q3,19-Jan-21,excited,WEEKEND,Self,repeat,0.0,3480.0
80,Nutan Dasnurkar,1.0,West,Bavdhan,January,Q3,19-Jan-21,excited,WEEKEND,Self,repeat,0.0,2100.0
81,ADitya garden city,1015.0,West,Warje,January,Q3,30-Jan-21,excited,WEEKEND,Self,repeat,2000.0,13200.0
82,Atul Park Ph1,300.0,West,Warje,January,Q3,30-Jan-21,excited,WEEKEND,Self,repeat,500.0,2427.6
87,Mont vert biaritz phase 1,88.0,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500.0,7920.0
89,Gera Empress,200.0,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500.0,5100.0
94,Astonia,475.0,South,Ambegaon,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,1000.0,12319.2
90,Springfield,250.0,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0.0,11400.0
92,Om avishkar(Sneh paradise),150.0,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0.0,7200.0
95,Pristine Fontana,175.0,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0.0,18000.0
96,Regalia Bavdhan,165.0,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,500.0,2292.0
97,Ishan Srushti,200.0,West,Warje,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0.0,3436.2
98,Ishan Sanskruti,200.0,West,Warje,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0.0,9300.0
99,Sundar Sahwas Ph2,200.0,Central,Sinhagad road,February,Q3,14-Feb-21,dull,WEEKEND,Self,repeat,0.0,1939.2
103,Sun Universe ,750.0,Central,Sinhagad road,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,1500.0,6723.6
100,Amrutwel,100.0,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0.0,2853.6
101,Rahul Park C,100.0,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0.0,1919.4
102,Rahul Park A wing,87.0,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,500.0,1800.0
103,AMrutwel,150.0,West,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0.0,2853.6
106,Westend village ,200.0,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0.0,4924.8
108,House of Aadya,1.0,Central,Deccan ,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0.0,728.4
107,Saarthi Sinclair,150.0,West,Warje,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0.0,4890.0
112,Sun Paradise,175.0,Central,Sinhagad road,February,Q3,27-Feb-21,excited,WEEKEND,Self,repeat,0.0,6000.0
116,Vaatsalyapuram-Kumre,200.0,Central,Kothrud,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,0.0,3634.2
114,ADitya garden city,1012.0,West,Warje,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,2000.0,6000.0
115,Viola,250.0,West,Warje,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,500.0,6000.0
120,Rohan leher,300.0,West,Baner,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0.0,10380.0
121,Anant Shilp,100.0,West,Bavdhan,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0.0,8520.0
122,Anant Vaibhav ,100.0,West,Bavdhan,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0.0,5281.2
123,Alcon Renaissant ,200.0,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0.0,7320.0
125,Nyati empire,300.0,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0.0,10132.2
127,Shivtara society,200.0,Central,Kothrud,March,Q3,20-Mar-21,excited,WEEKEND,SPF,repeat,3000.0,12465.0
130,Ajantha Avenue,400.0,Central,Kothrud,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,2900.0,11496.6
131,Lakshmi deep,228.0,West,Wakad,March,Q3,27-Mar-21,dull,WEEKEND,mygate,repeat,3800.0,1359.0
133,Antelia ,200.0,West,Bavdhan,March,Q3,28-Mar-21,excited,WEEKEND,Self,repeat,0.0,4069.2
134,Millenium Acropolis,181.0,West,Wakad,March,Q3,28-Mar-21,excited,WEEKEND,mygate,repeat,2500.0,3840.0
137,Westend Village,200.0,Central,Bhusari colony,June,Q4,25-Jun-21,normal,weekday,Self,repeat,750.0,3803.4
140,Ivory Estate,500.0,West,Baner,July,Q5,11-Jul-21,excited,Weekday,Self,repeat,0.0,3000.0
150,Anveshak Tech (Sandeep Tonapi),0.0,Central,Sinhagad road,July,Q5,26-Jul-21,,Weekend,Self,repeat,0.0,4320.0
146,DSK Gandhkosh,280.0,West,Baner,July,Q5,31-Jul-21,normal,Weekend,Nobroker,repeat,2500.0,5854.2
145,Park Ivory,450.0,West,Wakad,July,Q5,31-Jul-21,excited,,MYGATE,repeat,5000.0,10108.2
151,Atul Nagar,200.0,West,Warje,August,Q5,5-Aug-21,excited,weekday,Self,repeat,0.0,2996.4
154,Blue Bells AUra,120.0,West,Baner,August,Q5,7-Aug-21,dull,Weekday,Nobroker,repeat,1000.0,2756.4
155,Felicitia,130.0,West,Baner,August,Q5,7-Aug-21,dull,Weekend,Nobroker,repeat,1000.0,2996.4
158,Ivory Estate,300.0,West,Baner,August,Q5,11-Aug-21,neutral,Weekend,Self,repeat,0.0,1200.0
160,Pristine Fontana,200.0,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0.0,11964.0
161,Ambience Antelia,200.0,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0.0,6141.0
162,Valle Vista,200.0,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0.0,3930.0
166,Indradhanu Apartments,200.0,Central,Kothrud,August,Q5,15-Aug-21,excited,Weekend,Nobroker,repeat,1000.0,5648.4
168,Sun Universe,750.0,Central,Sinhagad road,August,Q5,20-Aug-21,excited,Weekend,Self,repeat,1500.0,10330.8
170,Sudatta Sankul,200.0,Central,Sinhagad road,August,Q5,20-Aug-21,neutral,weekday,Self,repeat,600.0,3708.0
172,Pinnac Anand,150.0,West,Karvenagar,August,Q5,21-Aug-21,excited,weekday,Self,repeat,0.0,7608.0
173,Rahul Nagar,300.0,Central,Kothrud,August,Q5,22-Aug-21,neutral,Weekend,Self,repeat,0.0,3468.0
177,Mont Vert Seville,500.0,West,Wakad,August,Q5,27-Aug-21,excited,weekday,self,repeat,1000.0,4063.8
178,Vardhaman Residency,250.0,West,Wakad,August,Q5,27-Aug-21,dull,weekday,Nobroker,repeat,1000.0,2734.8
179,Western Avenue,600.0,West,Hinjewadi,August,Q5,28-Aug-21,dull,weekday,MYGATE,repeat,5000.0,5256.0
181,Sneh Paradise,250.0,Central,Kothrud,August,Q5,29-Aug-21,excited,Weekend,self,repeat,0.0,10200.0
183,Sarita Vaibhav,300.0,Central,Sinhagad road,August,Q5,31-Aug-21,excited,Weekend,self,repeat,0.0,6000.0
184,Swarnavilas,45.0,West,Baner,September,Q5,1-Sep-21,,weekday,nobroker,repeat,500.0,3600.0
187,Aditya Garden Society,1200.0,West,Warje,September,Q5,4-Sep-21,excited,Weekday,Self,repeat,1000.0,12000.0
189,Viola,250.0,West,Warje,September,Q5,10-Sep-21,excited,Weekend,Janhavi,repeat,0.0,2925.0
191,Somani Residency,250.0,West,Punawle,September,Q5,11-Sep-21,dull,Weekday,nobroker,repeat,1500.0,1500.0
190,Palash Housing Society,250.0,West,Wakad,September,Q5,11-Sep-21,excited,Weekend,Self,repeat,0.0,7372.2
194,sun paradise,200.0,Central,Sinhagad road,September,Q5,15-Sep-21,dull,Weekend,self,repeat,0.0,1909.2
193,Atul Nagar,300.0,West,Warje,September,Q5,15-Sep-21,dull,Weekday,self,repeat,500.0,1382.4
195,jardin,250.0,West,Baner,September,Q5,16-Sep-21,excited,Weekday,nobroker,repeat,700.0,6229.8
196,beverly hills,250.0,West,Baner,September,Q5,16-Sep-21,excited,Weekday,nobroker,repeat,1500.0,3226.8
197,Aeropolis,330.0,North,Dhanori,September,Q5,17-Sep-21,excited,Weekday,nobroker,repeat,1500.0,5719.2
198,Atria Soc,330.0,North,Dhanori,September,Q5,17-Sep-21,dull,Weekday,nobroker,repeat,1500.0,2340.0
199,Life Republic 3,700.0,West,Hinjewadi,September,Q5,18-Sep-21,excited,Weekday,self,repeat,5000.0,12286.2
200,Life Republic 4,700.0,West,Hinjewadi,September,Q5,18-Sep-21,excited,Weekend,self,repeat,5000.0,14869.8
204,Gera Trinity Tower,250.0,North,Kharadi,September,Q5,25-Sep-21,neutral,Weekday,SPF,repeat,0.0,2736.0
203,Ivy Estate,800.0,North,Wagholi,September,Q5,25-Sep-21,excited,Weekend,nobroker,repeat,1500.0,17400.0
207,Aditya Garden Society,1200.0,West,Warje,October,Q6,2-Oct-21,excited,Weekend,self,repeat,1000.0,9394.2
208,SUYOG Aura,200.0,West,Warje,October,Q6,2-Oct-21,neutral,Weekend,self,repeat,0.0,2955.0
209,Tejowalay,300.0,West,Warje,October,Q6,3-Oct-21,neutral,Weekend,self,repeat,1000.0,3083.4
210,Oval Nest,300.0,West,Warje,October,Q6,3-Oct-21,neutral,Weekend,self,repeat,1500.0,1956.0
212,Tinsel County,300.0,West,Hinjewadi,October,Q6,9-Oct-21,dull,Weekend,nobroker,repeat,1000.0,3117.6
214,High Mont,450.0,West,Hinjewadi,October,Q6,13-Oct-21,neutral,Weekend,MYGATE,repeat,5000.0,7254.0
215,Springfield ,200.0,Central,Kothrud,October,Q6,15-Oct-21,excited,Weekday,self,repeat,0.0,6600.0
216,Ruturang,200.0,Central,Kothrud,October,Q6,15-Oct-21,excited,Holiday,self,repeat,0.0,12805.8
217,Shiv Sai Paradise,375.0,Thane,Thane,October,Q6,16-Oct-21,excited,Holiday,Self,repeat,3000.0,34906.8
