Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
1,Rohan Leher 2,181,West,Baner,August,Q1,1-Aug-20,excited,WEEKEND,Self,repeat,0,7501.8
2,Aditya Garden City,1014,Central,Warje,August,Q1,23-Aug-20,excited,WEEKEND,Self,repeat,1000,100
3,Yogiraj Foundation,200,West,Talegao,August,Q1,9-Aug-20,excited,WEEKEND,Self,repeat,0,9600
4,Yashashree Soc,50,Central,Bhusari colony,August,Q1,15-Aug-20,excited,WEEKEND,Self,repeat,0,4998.6
5,"ICS, revenue colony",200,Central,Bhosalenagar,August,Q1,30-Aug-20,excited,WEEKEND,Self,repeat,0,14011.8
6,Himali Soc,300,Central,Kothrud,September,Q1,1-Sep-20,excited,WEEKEND,Self,repeat,5000,9055.8
7,Shantikunj Soc,100,Central,Camp,September,Q1,5-Sep-20,excited,WEEKEND,Self,repeat,0,216
8,Ruturang soc,260,Central,Kothrud,September,Q1,12-Sep-20,excited,WEEKEND,Self,repeat,0,27600
9,Mahatma Soc,300,Central,Kothrud,September,Q1,13-Sep-20,excited,WEEKEND,Self,repeat,500,7800
10,Sigma One,132,Central,Kothrud,September,Q1,19-Sep-20,excited,WEEKEND,Self,repeat,0,34539
11,Forest trails,250,West,Bhugaon,September,Q1,20-Sep-20,excited,WEEKEND,Self,repeat,500,15000
12,"Rohan leher 1,2, alacrity",300,West,Baner,September,Q1,26-Sep-20,excited,WEEKEND,Self,repeat,0,12600
13,JK Hills,250,South,Dhayari,October,Q2,2-Oct-20,excited,WEEKEND,Self,repeat,0,12000
14,9 green park,120,Central,Sahakarnagar,October,Q2,2-Oct-20,excited,WEEKEND,Self,repeat,0,9000
15,Bhosalenagar,200,Central,Bhosalenagar,October,Q2,3-Oct-20,excited,WEEKEND,Self,repeat,0,9000
16,Mont Vert,400,West,Wakad,October,Q2,4-Oct-20,excited,WEEKEND,Self,repeat,1000,18000
17,Kumar Picadilly,250,West,Wakad,October,Q2,11-Oct-20,excited,WEEKEND,Self,repeat,0,19200
18,Dreams estate,300,East,Hadapsar,October,Q2,17-Oct-20,excited,WEEKEND,Self,repeat,0,1200
19,saudamini,200,Central,Bhusari colony,October,Q2,18-Oct-20,excited,WEEKEND,Self,repeat,500,7800
20,Amanora,1500,East,Hadapsar,October,Q2,24-Oct-20,excited,WEEKEND,Self,repeat,1000,14285.4
21,DSK Vishwa,700,South,Dhayari,November,Q2,1-Nov-20,excited,WEEKEND,Self,repeat,0,22800
22,Ambience Antelia,200,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0,6141
23,Sai park,150,South,Katraj,November,Q2,7-Nov-20,excited,WEEKEND,Self,repeat,500,5604.6
24,Sigma One,132,Central,Kothrud,November,Q2,8-Nov-20,excited,WEEKEND,Self,repeat,0,11793.6
25,Sun Empire,450,Central,Sinhagad road,November,Q2,13-Nov-20,excited,WEEKEND,Self,repeat,500,15469.2
26,Ruturang soc,260,Central,Kothrud,November,Q2,14-Nov-20,excited,WEEKEND,Self,repeat,0,15741.6
27,Sudarshan ,84,West,Karvenagar,November,Q2,15-Nov-20,excited,WEEKEND,Self,repeat,0,6094.2
28,Sun City,400,Central,Sinhagad road,November,Q2,21-Nov-20,excited,WEEKEND,Self,repeat,500,10183.2
29,Mahadkar residency ,150,Central,Bhusari colony,November,Q2,22-Nov-20,excited,WEEKEND,Self,repeat,500,5430
30,Rohan Mithila,300,North,Vimanagar,November,Q2,22-Nov-20,excited,WEEKEND,Self,repeat,0,14551.8
31,Westend village ,200,Central,Bhusari colony,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,0,12600
32,Sun Universe ,750,Central,Sinhagad road,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,500,24600
33,Sudatta sankul,180,Central,Sinhagad road,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,500,6600
34,Anant Shilp,200,West,Bavdhan,October,Q6,28-Oct-21,excited,Weekday,Self,repeat,0,7884
35,Colori,250,South,Undri,December,Q2,12-Dec-20,excited,WEEKEND,Self,repeat,1000,6624.6
36,38 Majestique,100,South,Undri,December,Q2,12-Dec-20,excited,WEEKEND,Self,repeat,500,3322.2
37,Relicon Garden Grove,250,South,Ambegaon,December,Q2,13-Dec-20,excited,WEEKEND,Self,repeat,0,14213.4
38,Meenaxipuram,250,Central,Sinhagad road,December,Q2,13-Dec-20,excited,WEEKEND,Self,repeat,500,13070.4
39,Windsor COunty,200,South,Ambegaon,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,0,5484
40,Kasturkunj,250,Central,Bhosalenagar,December,Q2,20-Dec-20,excited,WEEKEND,Self,repeat,0,9519
41,Swara nagri,250,Central,Sinhagad road,December,Q2,20-Dec-20,excited,WEEKEND,Self,repeat,0,6960
42,Mont Vert,200,West,Wakad,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,1000,4200
43,Kumar Picadilly,300,West,Wakad,December,Q2,25-Dec-20,excited,WEEKEND,Self,repeat,0,5095.8
44,DSK Vishwa,1000,Central,Sinhagad road,December,Q2,26-Dec-20,excited,WEEKEND,Self,repeat,0,7800
45,Vitthal Heritage,250,South,Ambegaon,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,500,8400
46,Amanora,1000,East,Hadapsar,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,1000,4200
47,9 Green Park,120,Central,Sahakarnagar,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,0,2745.6
48,Rohan Garima,190,Central,SB road,January,Q3,2-Jan-21,excited,WEEKEND,Self,repeat,500,6323.4
49,Suyog nagar,200,Central,SB road,January,Q3,2-Jan-21,excited,WEEKEND,Self,repeat,0,4485.6
50,Sky lounge ,290,East,Kalyaninagar,January,Q3,3-Jan-21,excited,WEEKEND,Self,repeat,0,7902
51,Veeroday society ,100,North,Kharadi,January,Q3,3-Jan-21,excited,WEEKEND,Self,repeat,0,4995
52,Ruturang soc,250,Central,Kothrud,January,Q3,3-Jan-21,excited,WEEKEND,Self,repeat,0,5374.2
53,Aditya Comfort Zon,550,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,0,18283.8
54,Supreme palms,250,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,11716.2
55,Iris,200,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,7920
56,Marvel Zephyr,200,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,7800
57,Kumar Primrose,200,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,3000
58,Rohan Mithila Upper parijat,200,North,Vimanagar,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,0,3600
59,Rohan mithila A-Y,350,North,Vimanagar,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,5400
60,Lake Vista,650,South,Ambegaon,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,2000,9962.4
61,Pinnac Anand ,150,West,Karvenagar,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,8565
62,Kumar parisar,200,Central,Kothrud,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,3300
63,Sicilia,260,East,Ghorpadi,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,1500,8004
64,Yellow blossoms ,260,East,Ghorpadi,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,1000,3120
65,Raheja woods,250,East,Kalyaninagar,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,0,7920
66,Amanora,1000,East,Hadapsar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,500,4140
67,Kumar Kruti,400,East,Kalyaninagar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,1770,18000
68,Landmark Greens,200,East,Kalyaninagar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,0,4920
69,Kunal Aspiree,200,West,Balewadi,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,9720
70,Mont vert biaritz phase 1,88,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,7920
71,Gera Empress,200,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,5100
72,Sukhwani Sepia,200,West,Wakad,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,6000
73,Springfield,250,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,11400
74,Sigma One,138,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,4740
75,Om avishkar(Sneh paradise),150,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,7200
76,Antelia ,200,West,Bavdhan,March,Q3,28-Mar-21,excited,WEEKEND,Self,repeat,0,4069.2
