Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
3,Yogiraj Foundation,200,West,Talegao,August,Q1,9-Aug-20,excited,WEEKEND,Self,repeat,0,9600.0
7,Shantikunj Soc,100,Central,Camp,September,Q1,5-Sep-20,excited,WEEKEND,Self,repeat,0,216.0
9,Mahatma Soc,300,Central,Kothrud,September,Q1,13-Sep-20,excited,WEEKEND,Self,repeat,500,7800.0
10,Sigma One,132,Central,Kothrud,September,Q1,19-Sep-20,excited,WEEKEND,Self,repeat,0,34539.0
11,Forest trails,250,West,Bhugaon,September,Q1,20-Sep-20,excited,WEEKEND,Self,repeat,500,15000.0
14,9 green park,120,Central,Sahakarnagar,October,Q2,2-Oct-20,excited,WEEKEND,Self,repeat,0,9000.0
24,Sigma One,132,Central,Kothrud,November,Q2,8-Nov-20,excited,WEEKEND,Self,repeat,0,11793.6
31,Westend village ,200,Central,Bhusari colony,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,0,12600.0
32,Sun Universe ,750,Central,Sinhagad road,November,Q2,28-Nov-20,excited,WEEKEND,Self,repeat,500,24600.0
33,Sudatta sankul,180,Central,Sinhagad road,November,Q2,29-Nov-20,excited,WEEKEND,Self,repeat,500,6600.0
40,Kasturkunj,250,Central,Bhosalenagar,December,Q2,20-Dec-20,excited,WEEKEND,Self,repeat,0,9519.0
47,9 Green Park,120,Central,Sahakarnagar,December,Q2,27-Dec-20,excited,WEEKEND,Self,repeat,0,2745.6
55,Iris,200,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,7920.0
61,Pinnac Anand ,150,West,Karvenagar,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,8565.0
62,Kumar parisar,200,Central,Kothrud,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,3300.0
70,Mont vert biaritz phase 1,88,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,7920.0
71,Gera Empress,200,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,5100.0
72,Sukhwani Sepia,200,West,Wakad,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,6000.0
73,Springfield,250,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,11400.0
74,Sigma One,138,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,4740.0
75,Om avishkar(Sneh paradise),150,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,7200.0
79,Sundar Sahwas Ph2,200,Central,Sinhagad road,February,Q3,14-Feb-21,dull,WEEKEND,Self,repeat,0,1939.2
