Date,Society 1,Society 2,Area,Zone,Week Number,Standard,Flat Count
03-08-2022,Sky lounge ,Raheja woods,kalyaninagar,East,2,"('Medium', 'Medium')","('290', '250')"
03-09-2022,Green County,Majestic aqua,phursungi,East,2,"('Medium', 'Medium')","('100', '450')"
03-10-2022,Dreams estate,ARV Royale,hadapsar,East,2,"('Worst', 'Medium')","('300', '200')"
03-11-2022,Sancheti Belcastle,PGD Pinnacle,mundhwa,East,2,"('Medium', 'Worst')","('100', '100')"
03-12-2022,Amanora,,hadapsar,East,2,"('Angel', None)","('1500', None)"
03-13-2022,Godrej Infinity,,keshavnagar,East,2,"('Angel', None)","('1200', None)"
04-12-2022,Kumar Kruti,Landmark Greens,kalyaninagar,East,7,"('Medium', 'Medium')","('400', '200')"
04-13-2022,Landmark Gardens,,kalyaninagar,East,7,"('Medium', None)","('200', None)"
04-14-2022,Sicilia,Yellow blossoms ,ghorpadi,East,7,"('Medium', 'Medium')","('260', '260')"
04-15-2022,Konark Krish,Vihana,keshavnagar,East,7,"('Medium', 'Medium')","('150', '200')"
04-16-2022,Godrej Infinity,,keshavnagar,East,7,"('Angel', None)","('1200', None)"
04-17-2022,Amanora,,hadapsar,East,7,"('Angel', None)","('1500', None)"
05-17-2022,Meenaxipuram,Swara nagri,sinhagad road,Central,12,"('Medium', 'Medium')","('250', '250')"
05-18-2022,9 Green Park,,sahakarnagar,Central,12,"('Medium', None)","('120', None)"
05-19-2022,Rohan Garima,Suyog nagar,sb road,Central,12,"('Medium', 'Medium')","('190', '200')"
05-20-2022,Kasturkunj,,bhosalenagar,Central,12,"('Medium', None)","('250', None)"
05-21-2022,Aditya Garden City,,warje,Central,12,"('Angel', None)","('1014', None)"
05-22-2022,COEP,,shivajinagar,Central,12,"('Angel', None)","('1000', None)"
03-01-2022,Rohan Leher 2,"Rohan leher 1,2, alacrity",baner,West,1,"('Medium', 'Medium')","('181', '300')"
03-02-2022,Yogiraj Foundation,,talegao,West,1,"('Medium', None)","('200', None)"
03-03-2022,Life Montage,Windows,sus,West,1,"('Medium', 'Medium')","('400', '320')"
03-04-2022,Peace Valley,Aureate,pimple saudagar,West,1,"('Medium', 'Medium')","('280', '120')"
03-05-2022,Roseland residency,Rose Icon,pimple saudagar,West,1,"('Angel', 'Angel')","('900', '1000')"
03-06-2022,Blue Ridge,Life Republic 7,hinjewadi,West,1,"('Angel', 'Angel')","('800', '850')"
04-05-2022,NEA,,sus,West,6,"('Medium', None)","('200', None)"
04-06-2022,Mont Vert,Kumar Picadilly,wakad,West,6,"('Medium', 'Medium')","('400', '250')"
04-07-2022,Forest trails,,bhugaon,West,6,"('Medium', None)","('250', None)"
